word,folio
oh9,['72v3.3rd_ring']
oh9,['72v3.4th_ring']
oh9,['72v1.4th_ring']
oh9,['73r.4th_ring']
oh9,['82v.labels_bottom_1']
oh9,['86v3.east_3']
oh9,['rose.west_center']
oh9,['rose.seast_center_11']
oh9,['88r.labels_top']
oh9,['88r.2']
oh9,['88r.11']
oh9,['99r.labels_top_1']
oh9,['99r.labels_middle_1']
oh9,['99v.labels_top']
oh9,['101r1-r2.8']
oh9,['101r1-r2.9']
hay,['57v.outer_ring']
hay,['67r1.outer_ring']
hay,['67r2.red_outer_ring']
hay,['67r2.3rd_ring']
hay,['67v2.outer_ring_east_2']
hay,['67v2.outer_ring_south_1']
hay,['67v2.moon_bottom_left']
hay,['68r1.moon']
hay,['68r2.moon']
hay,['69r.radial_1']
hay,['69r.radial_4']
hay,['69v.outer_ring']
hay,['69v.2nd_ring']
hay,['70r2.outside_ring']
hay,['70v2.4th_ring']
hay,['71v.2nd_ring']
hay,['72r1.3rd_ring']
hay,['72r2.top']
hay,['72r2.4th_ring']
hay,['72r3.outer_ring']
hay,['72v3.4th_ring']
hay,['72v2.3rd_ring']
hay,['72v2.4th_ring']
hay,['72v1.3rd_ring']
hay,['75v.label_text_1']
hay,['78r.label_right_4']
hay,['83v.labels_middle']
hay,['84r.labels_top_1']
hay,['84v.labels_middle_right']
hay,['85r2.quad_3_4']
hay,['86v4.outer_ring']
hay,['86v3.center_6']
hay,['86v3.west_5']
hay,['86v3.west_6']
hay,['rose.swest_center']
hay,['rose.south_labels_3']
hay,['rose.seast_ring']
hay,['rose.seast_center_6']
hay,['rose.east_ring']
hay,['rose.east_center_2']
hay,['rose.neast_ring']
hay,['rose.neast_center_2']
hay,['rose.center_ring_1']
hay,['88r.13']
hay,['89v2.labels_top']
hay,['89v2.labels_middle']
hay,['89v1.labels_top']
hay,['99r.labels_top_1']
hay,['99v.labels_jars']
hay,['101v2-v1.8']
ohan,['67r2.2nd_ring_6']
ohan,['70v2.outer_ring']
ohan,['77v.labels_top_1']
ohan,['82v.labels_bottom_1']
ohan,['86v3.west_5']
ohan,['rose.north_ring']
ohan,['89r2.labels_bottom']
9oyan,['89r2.labels_bottom']
oay9,['68r3.pieslice_1']
9ham,['86v3.north_4']
9ham,['86v3.north_6']
9ham,['86v3.east_2']
9ham,['86v3.west_2']
